ColName,ScreenableValues
BKSRVIOL,1:2
BKSMASLT,1:2
BKROB,1:2
BKARSON,1:2
BKDRVINF,1:2
BKDRUNK,1:2
BKPOSTOB,1:2
BKDRUG,1:2
BKSEXNR,1:2
BKFRAUD,1:2
BKOTH,1:2
PROBATON,1:2
PAROLREL,1:2
DRVINALCO,1:2
DRVINMARJ,1:2
DRVINCOCN,1:2
DRVINHERN,1:2
DRVINHALL,1:2
DRVININHL,1:2
DRVINMETH,1:2
DRVINALON,1:2
DRVINALCO2,0:1
DRVINMARJ2,0:1
DRVINDRG,0:1
DRVINDROTMJ,0:1
DRVINALDRG,0:1
PAROL,1:2
PROB,1:2
MRJYRBFR,1:2
MRJAGLST,1:130
CIGAGLST,1:130
CIGDLLST,1:130
SMKAGLAST,1:130
CGRAGLST,1:130
ALCAGLST,1:130
COCAGLST,1:130
CRKAGLST,1:130
HERAGLST,1:130
HALLAGLST,1:130
LSDAGLST,1:130
PCPAGLST,1:130
ECSTMOAGL,1:130
INHLAGLST,1:130
METHAGLST,1:130
CIGYRBFR,1:2
ALCYRBFR,1:2
COCYRBFR,1:2
MJPRIOR,0:1
MJPRIYR,0:1
MJPRNOYR,0:1
TXEVRRCVD,1:2
TXYRRECVD,1:2
TXYRALDGB,1:3
TXYRHOSOV,1:2
TXYRHOSAD,1:3
TXYRRESOV,1:2
TXYRRESAD,1:3
TXYROUTPT,1:2
TXYROUTAD,1:3
TXYRMHCOP,1:2
TXYRMHCAD,1:3
TXYREMRGN,1:2
TXYREMRAD,1:3
TXYRDRPRV,1:2
TXYRDRPAD,1:3
TXYRPRISN,1:2
TXYRPRIAD,1:2
TXYRSLFHP,1:2
TXYRSLFAD,1:3
TXYROTHER,1:2
TXYROTHAD,1:3
TXYRERDRG,1:2
TXYRERNUM2,1:365
TXCURRENT,1:2
NDTXYRADG,1:2
NDMORTXYR,1:2
NDTXYRALC,1:2
NDTXYRMRJ,1:2
NDTXYRCOC,1:2
NDTXYRHER,1:2
NDTXYRHAL,1:2
NDTXYRMTH,1:2
NDTXYRPNR,1:2
NDTXYRTRQ,1:2
NDTXYRSTM,1:2
NDTXYRSED,1:2
NDTXYROTH,1:2
NDTXEFFRT,1:2
NDMREFFRT,1:2
TXRCVDREC,1:3
TXLTYALCO,1:2
TXLTYMRJH,1:2
TXLTYCOCN,1:2
TXLTYHERN,1:2
TXLTYHALL,1:2
TXLTYINHL,1:2
TXLTYMETH,1:2
TXLTYPNRL,1:2
TXLTYTRQL,1:2
TXLTYSTIM,1:2
TXLTYSEDV,1:2
TXLTYOTHR,1:2
TXLTYDAYS2,1:31
TXPAYHINS,1:2
TXPAYMCRE,1:2
TXPAYMCAD,1:2
TXPAYPUBL,1:2
TXPAYSVNG,1:2
TXPAYFAML,1:2
TXPAYCOUR,1:2
TXPAYMILT,1:2
TXPAYBOSS,1:2
TXPAYOTHR,1:2
TXPAYFREE,1:2
TXENRLOCT,1:2
TXYRONDTX,1:2
TXALCONLY,1:2
TXALCONAG,1:130
TXDRGONLY,1:2
TXDRGONAG,1:130
TXALCDRGU,1:2
TXALCDAGE,1:130
TXDRGALCU,1:2
TXDRGAAGE,1:130
TXYALONAG,1:130
TXYALODRG,1:2
TXYALODAG,1:130
TXYDRONAG,1:130
TXYDROALC,1:2
TXYDROAAG,1:130
TXYALDAAG,1:130
TXYALDDAG,1:130
TXSHGWENT,1:2
TXSHGALDB,1:3
TXEVRRCVD2,0:1
TXYRALC,0:1
TXYRILL,0:1
TXYRALNIL,0:1
TXYRILNAL,0:1
TXYRRECVD2,0:1
TXYRILANAL,0:1
TXLTYALCO2,0:1
TXLTYMRJH2,0:1
TXLTYCOCN2,0:1
TXLTYHERN2,0:1
TXLTYHALL2,0:1
TXLTYINHL2,0:1
TXLTYMETH2,0:1
TXLTYPNRL2,0:1
TXLTYTRQL2,0:1
TXLTYSTIM2,0:1
TXLTYSEDV2,0:1
TXLTYILL,0:1
TXPAYHINS2,0:1
TXPAYMCRE2,0:1
TXPAYMCAD2,0:1
TXPAYPUBL2,0:1
TXPAYSVNG2,0:1
TXPAYFAML2,0:1
TXPAYCOUR2,0:1
TXPAYMILT2,0:1
TXPAYBOSS2,0:1
TXPDHINSAL,0:1
TXPDMCREAL,0:1
TXPDMCADAL,0:1
TXPDPUBLAL,0:1
TXPDSVNGAL,0:1
TXPDFAMLAL,0:1
TXPDCOURAL,0:1
TXPDMILTAL,0:1
TXPDBOSSAL,0:1
TXPDHINSIL,0:1
TXPDMCREIL,0:1
TXPDMCADIL,0:1
TXPDPUBLIL,0:1
TXPDSVNGIL,0:1
TXPDFAMLIL,0:1
TXPDCOURIL,0:1
TXPDMILTIL,0:1
TXPDBOSSIL,0:1
TXYRSPALC,0:1
TXYRSPILL,0:1
TXYSPALNIL,0:1
TXYSPILNAL,0:1
TXYRSPILAL,0:1
TXYSILANAL,0:1
TXLTCURRSP,0:1
TXYRHOSAL,0:1
TXYRRESAL,0:1
TXYROUTAL,0:1
TXYRMHCAL,0:1
TXYREMRAL,0:1
TXYRDRPAL,0:1
TXYRPRIAL,0:1
TXYRSLFAL,0:1
TXYRHOSIL,0:1
TXYRRESIL,0:1
TXYROUTIL,0:1
TXYRMHCIL,0:1
TXYREMRIL,0:1
TXYRDRPIL,0:1
TXYRPRIIL,0:1
TXYRSLFIL,0:1
TXYRHOSOV2,0:1
TXYRRESOV2,0:1
TXYROUTPT2,0:1
TXYRMHCOP2,0:1
TXYREMRGN2,0:1
TXYRDRPRV2,0:1
TXYRPRISN2,0:1
TXYRSLFHP2,0:1
TXYRNDALC,0:1
TXYRNDILL,0:1
TXYRNDILAL,0:1
NDFLTXALC,1:2
NDFLTXILL,1:2
NDFLTXILAL,1:2
TXYRNOSPAL,0:1
TXYRNOSPIL,0:1
TXYNSPILAL,0:1
NDTRNNOCOV,0:1
NDTRNNOTPY,0:1
NDTRNTSPHR,0:1
NDTRNWANTD,0:1
NDTRNNSTOP,0:1
NDTRNPFULL,0:1
NDTRNDKWHR,0:1
NDTRNNBRNG,0:1
NDTRNJOBNG,0:1
NDTRNNONED,0:1
NDTRNHANDL,0:1
NDTRNNOHLP,0:1
NDTRNNTIME,0:1
NDTRNFNDOU,0:1
NDTRNMIMPT,0:1
PREGNANT,1:2
HTINCHE2,40:90
WTPOUND2,50:400
NMERTMT2,1:365
INHOSPYR,1:2
NMNGTHS2,1:31
NMVSOPT2,0:19
NMVSOEST,0:8
HPUSETOB,1:2
HPUSEALC,1:2
HPUSEDRG,1:2
HPQTTOB,1:2
HPALCAMT,1:2
HPALCFRQ,1:2
HPALCPRB,1:2
HPALCCUT,1:2
HPALCTX,1:2
HPDRGTALK,1:2
STDANYYR,1:2
HRTCONDEV,1:2
DIABETEVR,1:2
COPDEVER,1:2
CIRROSEVR,1:2
HEPBCEVER,1:2
KIDNYDSEV,1:2
ASTHMAEVR,1:2
HIVAIDSEV,1:2
CANCEREVR,1:2
HIGHBPEVR,1:2
CABLADDER,1:2
CABLOLEULYM,1:2
CAOTHER2,1:2
CABREAST,1:2
CACERVIX,1:2
CACOLNRECT,1:2
CAESOPSTOM,1:2
CAGALLIVPAN,1:2
CAKIDNEY,1:2
CALARYLUNG,1:2
CAMELANOM,1:2
CAMOUTTHRO,1:2
CAOVARY,1:2
CAPROSTEST,1:2
CASKINOTH,1:2
CASKINDK,1:2
CATHYROID,1:2
CAUTERUS,1:2
CANCERYR,1:2
HRTCONDAG,1:2
HRTCONDYR,1:2
DIABETEAG,1:130
COPDAGE,1:130
CIRROSAGE,1:130
HEPBCAGE,1:130
KIDNYDSAG,1:130
ASTHMAAGE,1:130
ASTHMANOW,1:2
HIVAIDSAG,1:130
HIGHBPMED,1:2
HIGHBPAGE,1:130
PREG,0:1
TRIMEST,1:3
BMI2,1:90
AUINPYR,1:2
AUNMPSY2,1:365
AUNMPGE2,1:365
AUNMMED2,1:365
AUNMAHS2,1:31
AUNMRES2,1:31
AUNMSFA2,1:31
AUPINFM2,1:8
AUOPTYR,1:2
AUNMMEN2,1:31
AUNMTHE2,1:31
AUNMDOC2,1:31
AUNMCLN2,1:31
AUNMDTM2,1:31
AUNMOTO2,1:31
AUPOPAMT,1:8
AURXYR,1:2
AUUNMTYR,1:2
AUALTYR,1:2
AMHINP2,1:2
AMHOUTP3,1:2
AMHRX2,1:2
AMHTXRC3,1:2
AMHSVNO,1:3
AMHTXND2,1:2
MHLMNT3,0:1
MHLTHER3,0:1
MHLDOC3,0:1
MHLCLNC3,0:1
MHLDTMT3,0:1
MHLSCHL3,0:1
MHLOTH3,0:1
MHPDSLF2,0:1
MHPDOFM2,0:1
MHPDPHI2,0:1
MHPDMCR2,0:1
MHPDMCD2,0:1
MHPDREH2,0:1
MHPDEMP2,0:1
MHPDMIL2,0:1
MHPDPUB2,0:1
MHPDPRV2,0:1
MHPDFRE2,0:1
MHRCOST2,0:1
MHRNBRS2,0:1
MHRJOBS2,0:1
MHRNCOV2,0:1
MHRENUF2,0:1
MHRWHER2,0:1
MHRCFID2,0:1
MHRCMIT2,0:1
MHRNOND2,0:1
MHRHAND2,0:1
MHRNOHP2,0:1
MHRTIME2,0:1
MHRFOUT2,0:1
MHRTRAN2,0:1
MHRSOTH2,0:1
RCVMHOSPTX,0:1
RCVMHNSPTX,0:1
RCVSPTXNMH,0:1
RCVMHASPTX,0:1
SNYSELL,1:5
SNYSTOLE,1:5
SNYATTAK,1:5
SNFAMJEV,1:3
SNRLGSVC,1:6
SNRLGIMP,1:4
SNRLDCSN,1:4
SNRLFRND,1:4
YEATNDYR,1:2
YEHMSLYR,1:2
YESCHFLT,1:4
YESCHWRK,1:4
YESCHIMP,1:4
YESCHINT,1:4
YETCGJOB,1:4
YELSTGRD,1:4
YESTSCIG,1:4
YESTSMJ,1:4
YESTSALC,1:4
YESTSDNK,1:4
YEPCHKHW,1:4
YEPHLPHW,1:4
YEPCHORE,1:4
YEPLMTTV,1:4
YEPLMTSN,1:4
YEPGDJOB,1:4
YEPPROUD,1:4
YEYARGUP,1:5
YEYFGTSW,1:5
YEYFGTGP,1:5
YEYHGUN,1:5
YEYSELL,1:5
YEYSTOLE,1:5
YEYATTAK,1:5
YEPPKCIG,1:3
YEPMJEVR,1:3
YEPMJMO,1:3
YEPALDLY,1:3
YEGPKCIG,1:3
YEGMJEVR,1:3
YEGMJMO,1:3
YEGALDLY,1:3
YEFPKCIG,1:3
YEFMJEVR,1:3
YEFMJMO,1:3
YEFALDLY,1:3
YEPRTDNG,1:2
YEPRBSLV,1:2
YEVIOPRV,1:2
YEDGPRGP,1:2
YESLFHLP,1:2
YEPRGSTD,1:2
YESCHACT,0:3
YECOMACT,0:3
YEFAIACT,0:3
YEOTHACT,0:3
YEDECLAS,1:2
YEDERGLR,1:2
YEDESPCL,1:2
YEPVNTYR,1:2
YERLGSVC,1:6
YERLGIMP,1:4
YERLDCSN,1:4
YERLFRND,1:4
SCHFELT,1:2
TCHGJOB,1:2
AVGGRADE,1:2
STNDSCIG,1:2
STNDSMJ,1:2
STNDALC,1:2
STNDDNK,1:2
PARCHKHW,1:2
PARHLPHW,1:2
PRCHORE2,1:2
PRLMTTV2,1:2
PARLMTSN,1:2
PRGDJOB2,1:2
PRPROUD2,1:2
ARGUPAR,1:2
YOFIGHT2,1:2
YOGRPFT2,1:2
YOHGUN2,1:2
YOSELL2,1:2
YOSTOLE2,1:2
YOATTAK2,1:2
PRPKCIG2,1:2
PRMJEVR2,1:2
PRMJMO,1:2
PRALDLY2,1:2
YFLPKCG2,1:2
YFLTMRJ2,1:2
YFLMJMO,1:2
YFLADLY2,1:2
FRDPCIG2,1:2
FRDMEVR2,1:2
FRDMJMON,1:2
FRDADLY2,1:2
TALKPROB,1:2
PRTALK3,1:2
PRBSOLV2,1:2
PREVIOL2,1:2
PRVDRGO2,1:2
GRPCNSL2,1:2
PREGPGM2,1:2
YTHACT2,1:2
DRPRVME3,1:2
ANYEDUC3,1:2
RLGATTD,1:2
RLGIMPT,1:2
RLGDCSN,1:2
RLGFRND,1:2
DSTNRV30,1:5
DSTHOP30,1:5
DSTRST30,1:5
DSTCHR30,1:5
DSTEFF30,1:5
DSTNGD30,1:5
DSTWORST,1:2
DSTNRV12,1:5
DSTHOP12,1:5
DSTRST12,1:5
DSTCHR12,1:5
DSTEFF12,1:5
DSTNGD12,1:5
IMPREMEM,1:4
IMPCONCN,1:4
IMPGOUT,1:5
IMPGOUTM,1:2
IMPPEOP,1:5
IMPPEOPM,1:2
IMPSOC,1:5
IMPSOCM,1:2
IMPHHLD,1:5
IMPHHLDM,1:2
IMPRESP,1:5
IMPRESPM,1:2
IMPWORK,1:4
IMPWEEKS,1:56
IMPDYFRQ,1:3
IMPYDAYS,0:365
SUICTHNK,1:2
SUICPLAN,1:2
SUICTRY,1:2
K6SCMON,0:24
SPDMON,0:1
K6SCYR,0:24
K6SCMAX,0:24
SPDYR,0:1
MHSUITHK,0:1
MHSUTK_U,0:1
MHSUIPLN,0:1
MHSUITRY,0:1
WSPDSC2,0:17
WHODASC2,0:24
WHODASC3,0:8
SMIPP_U,0:1
SMIYR_U,0:1
AMIYR_U,0:1
SMMIYR_U,0:1
MMIYR_U,0:1
LMIYR_U,0:1
LMMIYRU,0:1
SMISUDPY,1:2
AMISUDPY,1:2
LMMISUDPY,1:2
ADDPREV,1:2
ADDSCEV,1:2
ADLOSEV,1:2
ADDPDISC,1:2
ADDPLSIN,1:2
ADDSLSIN,1:2
ADLSI2WK,1:2
ADDPR2WK,1:2
ADWRHRS,1:4
ADWRDST,1:4
ADWRCHR,1:4
ADWRIMP,1:4
ADDPPROB,1:2
ADWRPROB,1:2
ADWRAGE,1:130
ADWRDEPR,1:2
ADWRDISC,1:2
ADWRLSIN,1:2
ADWRPLSR,1:2
ADWRELES,1:2
ADWREMOR,1:2
ADWRGAIN,1:2
ADWRGROW,1:2
ADWRPREG,1:2
ADWRGNL2,1:27
ADWRLOSE,1:2
ADWRDIET,1:2
ADWRLSL2,1:27
ADWRSLEP,1:2
ADWRSMOR,1:2
ADWRENRG,1:2
ADWRSLOW,1:2
ADWRSLNO,1:2
ADWRJITT,1:2
ADWRJINO,1:2
ADWRTHOT,1:2
ADWRCONC,1:2
ADWRDCSN,1:2
ADWRNOGD,1:2
ADWRWRTH,1:2
ADWRDLOT,1:2
ADWRDBTR,1:2
ADWRSTHK,1:2
ADWRSPLN,1:2
ADWRSATP,1:2
AD_MDEA1,1:2
AD_MDEA2,1:2
AD_MDEA3,1:2
AD_MDEA4,1:2
AD_MDEA5,1:2
AD_MDEA6,1:2
AD_MDEA7,1:2
AD_MDEA8,1:2
AD_MDEA9,1:2
ADSMMDEA,1:2
ADPBINTF,1:5
ADPBDLYA,1:4
ADPBRMBR,1:2
ADPBAGE,1:130
ADPBNUM,1:1000
ADPB2WK,1:2
ADPSHMGT,0:10
ADPSWORK,0:10
ADPSRELS,0:10
ADPSSOC,0:10
ADPSDAYS,0:365
ADSEEDOC,1:2
ADTMTNOW,1:2
ADRX12MO,1:2
ADRXNOW,1:2
ADRXHLP,1:5
ADTMTHLP,1:5
AMDELT,1:2
AMDEYR,1:2
AMDEY2_U,0:1
ATXMDEYR,0:1
ARXMDEYR,0:1
AMDETXRX,0:1
ADOCMDE,0:1
AOMDMDE,0:1
APSY1MDE,0:1
APSY2MDE,0:1
ASOCMDE,0:1
ACOUNMDE,0:1
AOMHMDE,0:1
ANURSMDE,0:1
ARELMDE,0:1
AHBCHMDE,0:1
AOTHMDE,0:1
AHLTMDE,0:1
AALTMDE,0:1
AMDEHPRX,0:1
AMDEHPO,0:1
AMDERXO2,0:1
AMDEHARX,0:1
ASDSHOM2,1:5
ASDSWRK2,1:5
ASDSREL2,1:5
ASDSSOC2,1:5
ASDSOVL2,1:5
AMDEIMP,1:2
YUHOSPYR,1:2
YUHOSPN2,1:31
YURSIDYR,1:2
YURSIDN2,1:31
YUFCARYR,1:2
YUFCARN2,1:31
YUDYTXYR,1:2
YUDYTXN2,1:31
YUMHCRYR,1:2
YUMHCRN2,1:31
YUTPSTYR,1:2
YUTPSTN2,1:31
YUIHTPYR,1:2
YUIHTPN2,1:31
YUFDOCYR,1:2
YUFDOCN2,1:31
YUSWSCYR,1:2
YUSCEMYR,1:2
YUSCPGYR,1:2
YUJVDTON,1:2
YUJVDTN2,1:8
YUJVDTYR,1:2
YHOSP,0:1
YRESID,0:1
YFOST,0:1
YDAYTRT,0:1
YCLIN,0:1
YTHER,0:1
YHOME,0:1
YPED,0:1
YSPEC,0:1
YSHSW,0:1
YJAIL,0:1
ANYMHIN2,0:1
ANYMHOUT,0:1
ANYSMH2,0:1
ANYNSMH,0:1
ANYMHED2,0:1
ANYSEDMF,0:1
HOSPVST,1:5
RESIDVST,1:5
FOSTVST,1:5
DYTXVST,1:5
CLINVST,1:5
THERVST,1:5
HOMEVST,1:5
SPINVST2,1:5
SPOUTVST,1:5
SMHVST2,1:5
SIMHSUI2,0:1
SIMHDPR2,0:1
SIMHFEA2,0:1
SIMHBRK2,0:1
SIMHEAT2,0:1
SIMHANG2,0:1
SIMHFIT2,0:1
SIMHFML2,0:1
SIMHFRD2,0:1
SIMHOTP2,0:1
SIMHSCH2,0:1
SIMHMEN2,0:1
SIMHOTH3,0:1
SOMHSUI,0:1
SOMHDPR,0:1
SOMHFEA,0:1
SOMHBRK,0:1
SOMHEAT,0:1
SOMHANGR,0:1
SOMHFITE,0:1
SOMHFMLY,0:1
SOMHFRND,0:1
SOMHOTPP,0:1
SOMHSCHL,0:1
SOMHMEND,0:1
SOMHOTH2,0:1
SMHSUI2,0:1
SMHDPR2,0:1
SMHFEA2,0:1
SMHBRK2,0:1
SMHEAT2,0:1
SMHANGR2,0:1
SMHFITE2,0:1
SMHFMLY2,0:1
SMHFRND2,0:1
SMHOTPP2,0:1
SMHSCHL2,0:1
SMHMEND2,0:1
SMHOTH3,0:1
SHSWSUI,0:1
SHSWDPR,0:1
SHSWFEA,0:1
SHSWBRK,0:1
SHSWEAT,0:1
SHSWANGR,0:1
SHSWFITE,0:1
SHSWFMLY,0:1
SHSWFRND,0:1
SHSWOTPP,0:1
SHSWSCHL,0:1
SHSWMEND,0:1
SHSWOTH2,0:1
FDOCSUI,0:1
FDOCDPR,0:1
FDOCFEA,0:1
FDOCBRK,0:1
FDOCEAT,0:1
FDOCANGR,0:1
FDOCFITE,0:1
FDOCFMLY,0:1
FDOCFRND,0:1
FDOCOTPP,0:1
FDOCSCHL,0:1
FDOCMEND,0:1
FDOCOTH2,0:1
YMHOSPTX,0:1
YMHNSPTX,0:1
YSPTXNMH,0:1
YMHASPTX,0:1
YODPREV,1:2
YODSCEV,1:2
YOLOSEV,1:2
YODPDISC,1:2
YODPLSIN,1:2
YODSLSIN,1:2
YOLSI2WK,1:2
YODPR2WK,1:2
YOWRHRS,1:5
YOWRDST,1:4
YOWRCHR,1:4
YOWRIMP,1:4
YODPPROB,1:2
YOWRPROB,1:2
YOWRAGE,1:18
YOWRDEPR,1:2
YOWRDISC,1:2
YOWRLSIN,1:2
YOWRPLSR,1:2
YOWRELES,1:2
YOWREMOR,1:2
YOWRGAIN,1:2
YOWRGROW,1:2
YOWRGNL2,0:27
YOWRLOSE,1:2
YOWRDIET,1:2
YOWRLSL2,0:27
YOWRSLEP,1:2
YOWRSMOR,1:2
YOWRENRG,1:2
YOWRSLOW,1:2
YOWRSLNO,1:2
YOWRJITT,1:2
YOWRJINO,1:2
YOWRTHOT,1:2
YOWRCONC,1:2
YOWRDCSN,1:2
YOWRNOGD,1:2
YOWRWRTH,1:2
YOWRDLOT,1:2
YOWRDBTR,1:2
YOWRSTHK,1:2
YOWRSPLN,1:2
YOWRSATP,1:2
YO_MDEA1,1:2
YO_MDEA2,1:2
YO_MDEA3,1:2
YO_MDEA4,1:2
YO_MDEA5,1:2
YO_MDEA6,1:2
YO_MDEA7,1:2
YO_MDEA8,1:2
YO_MDEA9,1:2
YODSMMDE,1:2
YOPBINTF,1:5
YOPBDLYA,1:4
YOPBRMBR,1:2
YOPBAGE,1:18
YOPBNUM,1:2000
YOPB2WK,1:2
YOPSHMGT,0:10
YOPSWORK,0:10
YOPSRELS,0:10
YOPSSOC,0:10
YOPSDAYS,0:365
YOSEEDOC,1:2
YOTMTNOW,1:2
YORX12MO,1:2
YORXNOW,1:2
YORXHLP,1:5
YOTMTHLP,1:5
YMDELT,1:2
YMDEYR,1:2
YMDEUDPY,0:1
YTXMDEYR,0:1
YRXMDEYR,0:1
YMDETXRX,0:1
YDOCMDE,0:1
YOMDMDE,0:1
YPSY1MDE,0:1
YPSY2MDE,0:1
YSOCMDE,0:1
YCOUNMDE,0:1
YOMHMDE,0:1
YNURSMDE,0:1
YRELMDE,0:1
YHBCHMDE,0:1
YOTHMDE,0:1
YHLTMDE,0:1
YALTMDE,0:1
YMDEHPRX,0:1
YMDEHPO,0:1
YMDERXO2,0:1
YMDEHARX,0:1
YSDSHOME,1:5
YSDSWRK,1:5
YSDSREL,1:5
YSDSSOC,1:5
YSDSOVRL,1:5
MDEIMPY,1:2
YMDEIMUDPY,0:1
CADRLAST,1:500
CADRPEOP,1:3
CABUYFRE,1:2
CAGVMONY,1:2
CABUYWHO,1:2
CABUNDAG,1:2
CADRKDRUG,1:2
CABINGFLG,0:1
CABINGEVR,1:2
CABINGAGE,1:130
UADPEOP,1:3
UADCAR,1:2
UADHOME,1:2
UADOTHM,1:2
UADPUBL,1:2
UADBAR,1:2
UADEVNT,1:2
UADSCHL,1:2
UADROTH,1:2
UADPAID,1:2
UADMONY,1:2
UADBWHO,1:2
UADBUND,1:2
UADFRD,1:2
CADRKMARJ2,0:1
CADRKCOCN2,0:1
CADRKHERN2,0:1
CADRKHALL2,0:1
CADRKINHL2,0:1
CADRKMETH2,0:1
LANGVER,1:2
QUARTER,1:4
AGE2,1:17
NOMARR2,1:2
SERVICE,1:2
ACTDEVER,1:2
ACTD2001,1:2
ACTD9001,1:2
ACTD7590,1:2
ACTDVIET,1:2
ACTDPRIV,1:2
COMBATPY,1:2
HEALTH,1:5
MOVSINPYR2,0:3
SEXATRACT,1:5
SPEAKENGL,1:4
DIFFHEAR,1:2
DIFFSEE,1:2
DIFFTHINK,1:2
DIFFWALK,1:2
DIFFDRESS,1:2
DIFFERAND,1:2
IRSEX,1:2
IREDUHIGHST2,1:11
CATAGE,1:4
CATAG2,1:3
CATAG3,1:5
CATAG6,1:6
CATAG7,1:7
PREGAGE2,1:3
DRVINAGE,1:2
DRVINDETAG,1:3
HEALTH2,1:4
EDUSCHLGO,1:2
EDUSCHGRD2,1:11
EDUFULPAR,1:2
EDUSCKMON,0:365
EDUSCKEST,1:6
EDUSCKCOM,0:365
EDUSKPMON,0:365
EDUSKPEST,1:5
EDUSKPCOM,0:365
MILTFAMLY,1:2
MILTSPPAR,1:2
MILTPARNT,1:2
MILTCHLDR,1:2
MILTSIBLN,1:2
WRKDPSTWK,1:2
WRKHADJOB,1:2
WRKDHRSWK2,1:61
WRK35WKUS,1:2
WRKEFFORT,1:2
WRKDPSTYR,1:2
WRKSELFEM,1:2
WRKNUMJOB2,1:4
WRKNJBPYR,1:2
WRKNJBWKS,0:56
WRKSICKMO,0:30
WRKSKIPMO,0:30
WRKDRGPOL,1:2
WRKDRGALB,1:3
WRKDRGEDU,1:2
WRKDRGHLP,1:2
WRKTSTALC,1:2
WRKTSTDRG,1:2
WRKTSTHIR,1:2
WRKTSTRDM,1:2
IRWRKSTAT,1:3
IRWRKSTAT18,1:3
EDFAM18,0:1
IMOTHER,1:2
IFATHER,1:2
NRCH17_2,0:3
IRHHSIZ2,1:6
IRKI17_2,1:4
IRHH65_2,1:3
PRXYDATA,1:2
MEDICARE,1:2
CAIDCHIP,1:2
CHAMPUS,1:2
PRVHLTIN,1:2
GRPHLTIN,1:2
HLTINALC,1:2
HLTINDRG,1:2
HLTINMNT,1:2
HLTINNOS,1:2
HLCNOTYR,1:2
HLCNOTMO,0:12
HLCLAST,1:5
IRMCDCHP,1:2
IRMEDICR,1:2
IRCHMPUS,1:2
IRPRVHLT,1:2
IROTHHLT,1:2
ANYHLTI2,1:2
IRINSUR4,1:2
OTHINS,1:2
CELLWRKNG,1:2
CELLNOTCL,1:2
IRFAMSOC,1:2
IRFAMSSI,1:2
IRFSTAMP,1:2
IRFAMPMT,1:2
IRFAMSVC,1:2
IRWELMOS,0:12
IRPINC3,1:7
IRFAMIN3,1:7
GOVTPROG,1:2
INCOME,1:4
TOOLONG,1:2
TROUBUND,1:2
PDEN10,1:2
COUTYP4,1:3
MAIIN102,1:2
AIIND102,1:2
